Partner,Individuals
Fraunhofer-Gesellschaft,14
University of Helsinki (FIMM-UH),5
Uppsala Universitet,2
EATRIS,3
ZonMw,2
Syreon Research Institute,6
Bfarm,2
EURORDIS-Plateforme Maladies Rares,2
Karolinska Institutet,7
Istituto Nazionale Tumori,11
Dompe Farmaceutici-SpA,5
Chemotargets,1
Ljubljana University,3
Mario Negri Institute for Pharmacological Research,1
Teamit Research,6
University of Hull,1
Beacon: for rare disease,1
Anti-cancer fund,1
The European Clinical Research Infrastructure Network (ECRIN),3
The University of Sheffield,1
